Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     18.08     0.00    49859     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, long, NgramList::Ngram, NgramList::CompareCount>(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, long, long, NgramList::Ngram, NgramList::CompareCount)
  0.00     18.08     0.00    33309     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::size() const
  0.00     18.08     0.00    33242     0.00     0.00  bool __gnu_cxx::operator!=<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > > const&, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > > const&)
  0.00     18.08     0.00    33241     0.00     0.00  bool std::__detail::operator!=<std::pair<std::string const, int>, false>(std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&, std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&)
  0.00     18.08     0.00    33240     0.00     0.00  NgramList::Ngram::Ngram()
  0.00     18.08     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::deallocate(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, unsigned long)
  0.00     18.08     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::destroy(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*)
  0.00     18.08     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::allocate(unsigned long, void const*)
  0.00     18.08     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::max_size() const
  0.00     18.08     0.00    33240     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, unsigned long) const
  0.00     18.08     0.00    33240     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  0.00     18.08     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_allocate_node(std::pair<std::string const, int> const&)
  0.00     18.08     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket(std::pair<std::string const, int> const&, unsigned long, unsigned long)
